text,label
Man spit it out already,1
say that again imma b under yo bee lil bro,1
Say it don’t spray it,1
Bro is just hungry for a dog,1
Fentanyl is pretty derpy,1
Who the fuck are you?,0
hairynigga635,0
Who Is u?,1
MİNİON AHH LAUGH,1
@whos.eztli lmao,1
That joke was truly and utterly unfunny. After I heard the joke I immediately threw my phone of the my 4th floor balcony because of the utter most cringe expressed in this video. I would rather hear 200 air hornsfor the rest of my life then hear the words u just sed ever again.,0
He sold me fentanly  on 63rd st,0
@ch._.kanz how you miss the censor @wdfroot,1
Gotcha! ,1
Just go bald my nigger.,0
"Tofu, nobody listens to you.",0
@tristan_tier_femyfym is all the same.,0
Is this the kid who was crying over a dead deer,1
African black boy,1
@memes.arriving.at.your.door @xdub_city @dr._depression_,1
Put some gas in it. I'll be there in five minutes.,0
I'll send you back to Tiananmen Square.,0
Tofu.,0
love it!!,1
Sound,0
Remember when you sold me meth behind speedway,1
@tr_pp3 @poopsicklefudge,1
A lesbian haircut.,0
Fat-ass niggers always lie.,0
@joey_hyson what u search for this,1
"You're fascinated by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthraled by me.",0
Your pfp bro,1
cham phan tart,1
@kidchriss Big Nigger ne aukaat dikha dikha di,0
@yasir_ifaz man wtf you doing here,1
"Nigger, you don't have a purpose. You get out of here.",0
This man is genious,1
Call CCCP on your ass.,0
Tofu.,0
@fuckthegovernment5.56 bro sound like Mr Krabs ,1
@sofiblaancoo mi amiga dijo que le enseñes a bailar tan cool como vos,1
He sold me on 63rd Street.,0
SigmaniggaName,0
I really hate you. I hate you.,0
Eggcakes.,0
Are u acoustic,0
Ong lil jit,1
Friendly fire,1
It sucks.,0
@gavin.s201 @drep0p ,1
Niggers cut off your hair at this point.,0
That’s fake bc they don’t do that every second  my uncle has it and he doesn’t stutter every second like you losing add nogga,0
Just fall off your brother.,0
Le falta lo negro y queda igualito,1
A lesbian haircut.,0
How does this even happen,1
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",0
Tofu.,0
"Nigga, you're back.",0
Nigga took corona virus seriously,0
He get the pass,1
Marla brought some sweets for your next meal with Fent.,0
Just fall off your brother.,0
How he felt after this:,1
@josh_torbert_44 just kidding just kidding,1
pls,1
I follow back!!,1
D!e!,0
@doubleo4682,1
nigga who is u,0
fentanyl,1
Nigga at this point cut off your hair ,0
Blud china get put back in santa workshop,1
….wa,1
bro: my internet isnt bad also bro:,1
"I hate this guy, man.",0
"Actually, it's a ciggga.",0
nigga reaction is longer than the video,0
Well then I’ll put bullets in your skin IP:2882.8282.,1
I believe it's a chain.,0
