text,new_label
Man spit it out already,not_bully-Ham
say that again imma b under yo bee lil bro,not_bully-Ham
Say it don’t spray it,not_bully-Ham
Bro is just hungry for a dog,not_bully-Ham
Fentanyl is pretty derpy,not_bully-Ham
Who the fuck are you?,bully-Ham
hairynigga635,bully-Ham
Who Is u?,not_bully-Ham
MİNİON AHH LAUGH,not_bully-Ham
@whos.eztli lmao,not_bully-Spam
That joke was truly and utterly unfunny. After I heard the joke I immediately threw my phone of the my 4th floor balcony because of the utter most cringe expressed in this video. I would rather hear 200 air hornsfor the rest of my life then hear the words u just sed ever again.,bully-Ham
He sold me fentanly  on 63rd st,bully-Ham
@ch._.kanz how you miss the censor @wdfroot,not_bully-Ham
Gotcha! ,not_bully-Ham
Just go bald my nigger.,bully-Ham
"Tofu, nobody listens to you.",bully-Ham
@tristan_tier_femyfym is all the same.,bully-Ham
Is this the kid who was crying over a dead deer,not_bully-Ham
African black boy,not_bully-Ham
@memes.arriving.at.your.door @xdub_city @dr._depression_,not_bully-Spam
Put some gas in it. I'll be there in five minutes.,bully-Ham
I'll send you back to Tiananmen Square.,bully-Ham
Tofu.,bully-Ham
love it!!,not_bully-Ham
Sound,bully-Ham
Remember when you sold me meth behind speedway,not_bully-Ham
@tr_pp3 @poopsicklefudge,not_bully-Ham
A lesbian haircut.,bully-Ham
Fat-ass niggers always lie.,bully-Ham
@joey_hyson what u search for this,not_bully-Ham
"You're fascinated by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthraled by me.",bully-Spam
Your pfp bro,not_bully-Ham
cham phan tart,not_bully-Ham
@kidchriss Big Nigger ne aukaat dikha dikha di,bully-Ham
@yasir_ifaz man wtf you doing here,not_bully-Ham
"Nigger, you don't have a purpose. You get out of here.",bully-Ham
This man is genious,not_bully-Ham
Call CCCP on your ass.,bully-Ham
Tofu.,bully-Ham
@fuckthegovernment5.56 bro sound like Mr Krabs ,not_bully-Ham
@sofiblaancoo mi amiga dijo que le enseñes a bailar tan cool como vos,not_bully-Spam
He sold me on 63rd Street.,bully-Ham
SigmaniggaName,bully-Ham
I really hate you. I hate you.,bully-Ham
Eggcakes.,bully-Ham
Are u acoustic,bully-Ham
Ong lil jit,not_bully-Ham
Friendly fire,not_bully-Ham
It sucks.,bully-Ham
@gavin.s201 @drep0p ,not_bully-Spam
Niggers cut off your hair at this point.,bully-Spam
That’s fake bc they don’t do that every second  my uncle has it and he doesn’t stutter every second like you losing add nogga,bully-Ham
Just fall off your brother.,bully-Ham
Le falta lo negro y queda igualito,not_bully-Ham
A lesbian haircut.,bully-Ham
How does this even happen,not_bully-Ham
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",bully-Ham
Tofu.,bully-Ham
"Nigga, you're back.",bully-Ham
Nigga took corona virus seriously,bully-Ham
He get the pass,not_bully-Ham
