text,label
Man spit it out already,Not Bully
say that again imma b under yo bee lil bro,Not Bully
Say it don’t spray it,Not Bully
Bro is just hungry for a dog,Not Bully
Fentanyl is pretty derpy,Not Bully
Who the fuck are you?,Bully
hairynigga635,Bully
Who Is u?,Not Bully
MİNİON AHH LAUGH,Not Bully
@whos.eztli lmao,Not Bully
That joke was truly and utterly unfunny. After I heard the joke I immediately threw my phone of the my 4th floor balcony because of the utter most cringe expressed in this video. I would rather hear 200 air hornsfor the rest of my life then hear the words u just sed ever again.,Bully
He sold me fentanly  on 63rd st,Bully
@ch._.kanz how you miss the censor @wdfroot,Not Bully
Gotcha! ,Not Bully
Just go bald my nigger.,Bully
"Tofu, nobody listens to you.",Bully
@tristan_tier_femyfym is all the same.,Bully
Is this the kid who was crying over a dead deer,Not Bully
African black boy,Not Bully
@memes.arriving.at.your.door @xdub_city @dr._depression_,Not Bully
Put some gas in it. I'll be there in five minutes.,Bully
I'll send you back to Tiananmen Square.,Bully
Tofu.,Bully
love it!!,Not Bully
Sound,Bully
Remember when you sold me meth behind speedway,Not Bully
@tr_pp3 @poopsicklefudge,Not Bully
A lesbian haircut.,Bully
Fat-ass niggers always lie.,Bully
@joey_hyson what u search for this,Not Bully
"You're fascinated by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthraled by me.",Bully
Your pfp bro,Not Bully
cham phan tart,Not Bully
@kidchriss Big Nigger ne aukaat dikha dikha di,Bully
@yasir_ifaz man wtf you doing here,Not Bully
"Nigger, you don't have a purpose. You get out of here.",Bully
This man is genious,Not Bully
Call CCCP on your ass.,Bully
Tofu.,Bully
@fuckthegovernment5.56 bro sound like Mr Krabs ,Not Bully
@sofiblaancoo mi amiga dijo que le enseñes a bailar tan cool como vos,Not Bully
He sold me on 63rd Street.,Bully
SigmaniggaName,Bully
I really hate you. I hate you.,Bully
Eggcakes.,Bully
Are u acoustic,Bully
Ong lil jit,Not Bully
Friendly fire,Not Bully
It sucks.,Bully
@gavin.s201 @drep0p ,Not Bully
Niggers cut off your hair at this point.,Bully
That’s fake bc they don’t do that every second  my uncle has it and he doesn’t stutter every second like you losing add nogga,Bully
Just fall off your brother.,Bully
Le falta lo negro y queda igualito,Not Bully
A lesbian haircut.,Bully
How does this even happen,Not Bully
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",Bully
Tofu.,Bully
"Nigga, you're back.",Bully
Nigga took corona virus seriously,Bully
He get the pass,Not Bully
Marla brought some sweets for your next meal with Fent.,Bully
Just fall off your brother.,Bully
How he felt after this:,Not Bully
@josh_torbert_44 just kidding just kidding,Not Bully
pls,Not Bully
I follow back!!,Not Bully
D!e!,Bully
@doubleo4682,Not Bully
nigga who is u,Bully
fentanyl,Not Bully
Nigga at this point cut off your hair ,Bully
Blud china get put back in santa workshop,Not Bully
….wa,Not Bully
bro: my internet isnt bad also bro:,Not Bully
"I hate this guy, man.",Bully
"Actually, it's a ciggga.",Bully
nigga reaction is longer than the video,Bully
Well then I’ll put bullets in your skin IP:2882.8282.,Not Bully
I believe it's a chain.,Bully
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,Bully
Me too I didn’t ask for a glass of your opinion,Bully
I really want to give this kid a funny shoelace.,Bully
I was touched through the screen,Not Bully
Use condoms guys,Not Bully
Do you have a voice?,Bully
@oma42069 @henrykaser,Not Bully
"Go to school, go to the Lylewiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School",Bully
You remind me of the last guy I kidnapped,Not Bully
Broou,Not Bully
Bro your soo weird,Not Bully
I didn't ask you to give me any advice.,Bully
Lord have mercy I love this boy,Not Bully
@luke.bergmann_  @baylin_bingham ,Not Bully
@rubn_ak @definitely.notlee,Not Bully
I'm talking about niggers.,Bully
@mykqh.1 @sara.c.parker,Not Bully
That's a dog nigga!,Bully
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",Bully
@shefwjordan00 nigga,Bully
@noolimitpooh's hateful esh,Bully
@azaan_taffazal 10/6 zonewar and 10/7 boxfight,Not Bully
Put some gas in it. I'll be there in five minutes.,Bully
Who let bro cook,Not Bully
@uncleshidfard91 I was being sarcastic pls stfu .,Bully
No one dares to laugh at you.,Bully
Niggers react longer than video.,Bully
Why does our hair look better when we wet it,Not Bully
@9jr.io,Not Bully
Condoms could have saved us.,Bully
@theyfw.s3an @1se3an,Not Bully
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Bully
Who the fuck are you?,Bully
"Every time I see your job, I really want to kill myself, and the more I want to kill myself, the more I want to kill myself.",Bully
Delete your account,Bully
